Date,Ticker,Company,Market,Open,High,Low,Close,Volume
2024-05-08,RELIANCE.NS,Reliance Industries,India,1387.2324157830615,1422.42191231512,1387.2324157830615,1408.1278076171875,9439002
2024-05-09,RELIANCE.NS,Reliance Industries,India,1402.6185253372132,1413.2895438420787,1379.7875090012217,1383.8822021484375,11009612
2024-05-10,RELIANCE.NS,Reliance Industries,India,1386.4879762578594,1399.6406275450738,1377.8766636438304,1397.0845947265625,10505096
2024-05-13,RELIANCE.NS,Reliance Industries,India,1389.6149314683873,1396.6379028351905,1373.8317248456565,1392.394287109375,8456620
2024-05-14,RELIANCE.NS,Reliance Industries,India,1390.681954289976,1416.5901722719507,1389.7389824487905,1409.6416015625,7188300
2024-05-15,RELIANCE.NS,Reliance Industries,India,1410.063563528233,1419.468926315315,1402.6435067088078,1405.86962890625,5046534
2024-05-16,RELIANCE.NS,Reliance Industries,India,1408.1278405018506,1417.0120356183081,1387.75361519461,1414.8778076171875,14711774
2024-05-17,RELIANCE.NS,Reliance Industries,India,1412.5948920294334,1426.6408349602225,1402.8668442157614,1425.15185546875,10916476
2024-05-21,RELIANCE.NS,Reliance Industries,India,1415.1260338425998,1431.231803864575,1415.1260338425998,1425.57373046875,11176128
2024-05-22,RELIANCE.NS,Reliance Industries,India,1425.722543020764,1457.9837617014118,1425.722543020764,1449.91845703125,10281604
2024-05-23,RELIANCE.NS,Reliance Industries,India,1447.8340020088174,1481.2615172416956,1444.3100355832012,1475.1319580078125,14608260
2024-05-24,RELIANCE.NS,Reliance Industries,India,1472.724715385057,1477.5638984586112,1465.2549777906743,1469.37451171875,7094776
2024-05-27,RELIANCE.NS,Reliance Industries,India,1469.3497180106694,1473.990419113941,1450.8119965034373,1455.4774169921875,6629010
2024-05-28,RELIANCE.NS,Reliance Industries,India,1457.2145743340495,1467.637430621861,1442.0766163922278,1445.501220703125,7820162
2024-05-29,RELIANCE.NS,Reliance Industries,India,1435.8724890871501,1447.287997987601,1427.8815843874524,1430.1895751953125,7383556
2024-05-30,RELIANCE.NS,Reliance Industries,India,1424.9532474164846,1429.817270893488,1409.6663684202383,1414.3814697265625,13206858
2024-05-31,RELIANCE.NS,Reliance Industries,India,1420.7841589242364,1431.653659822201,1411.800601617005,1419.8907470703125,31069832
2024-06-03,RELIANCE.NS,Reliance Industries,India,1472.1043222829317,1503.3728901534053,1448.2806515244756,1499.228515625,21527942
2024-06-04,RELIANCE.NS,Reliance Industries,India,1487.0437791255476,1487.0437791255476,1349.3131842665355,1387.0091552734375,36709098
2024-06-05,RELIANCE.NS,Reliance Industries,India,1411.5524616660985,1420.6352601794422,1373.9308915121778,1410.3116455078125,17464890
2024-06-06,RELIANCE.NS,Reliance Industries,India,1424.4569533735907,1433.0929853880773,1410.9072166555904,1421.0819091796875,17855722
2024-06-07,RELIANCE.NS,Reliance Industries,India,1418.004611799037,1461.1850112482903,1416.0193060772324,1459.1500244140625,18558696
2024-06-10,RELIANCE.NS,Reliance Industries,India,1459.150058153404,1482.3781598703026,1457.2888339961758,1460.5894775390625,9251760
2024-06-11,RELIANCE.NS,Reliance Industries,India,1458.20717740815,1462.847878399236,1443.9874724286744,1445.9727783203125,11774902
2024-06-12,RELIANCE.NS,Reliance Industries,India,1446.7915758989445,1465.155654220818,1444.4837064170613,1452.57373046875,10081742
2024-06-13,RELIANCE.NS,Reliance Industries,India,1461.1851486521073,1461.433311890669,1449.3725542618724,1454.4847412109375,9181160
2024-06-14,RELIANCE.NS,Reliance Industries,India,1459.199879544848,1468.8038455887872,1446.518713499826,1466.6944580078125,8157998
2024-06-18,RELIANCE.NS,Reliance Industries,India,1476.4224025999808,1476.4720837189377,1460.5399547367645,1470.1439208984375,7196766
2024-06-19,RELIANCE.NS,Reliance Industries,India,1476.571240472528,1476.571240472528,1445.3026730272272,1447.9332275390625,8725874
2024-06-20,RELIANCE.NS,Reliance Industries,India,1448.2806091505108,1471.9553570393568,1439.4459739347105,1462.87255859375,16113776
2024-06-21,RELIANCE.NS,Reliance Industries,India,1462.7982011333013,1463.8652545834836,1429.9909727182371,1443.515869140625,31170360
2024-06-24,RELIANCE.NS,Reliance Industries,India,1434.9045699529108,1438.8503408924523,1426.9385064042085,1430.88427734375,8878386
2024-06-25,RELIANCE.NS,Reliance Industries,India,1432.3982039886682,1445.2282918111714,1430.4128980926341,1443.46630859375,7045386
2024-06-26,RELIANCE.NS,Reliance Industries,India,1435.425808927042,1507.8149506909176,1434.5075565031482,1502.9013671875,22014882
2024-06-27,RELIANCE.NS,Reliance Industries,India,1502.6284353235128,1526.2039433921725,1494.935374795845,1519.3050537109375,28383030
2024-06-28,RELIANCE.NS,Reliance Industries,India,1519.7764812043604,1569.3842873036351,1519.7764812043604,1553.89892578125,28957336
2024-07-01,RELIANCE.NS,Reliance Industries,India,1551.0450507194453,1567.7960689891884,1544.2454023527885,1548.6875,7724306
2024-07-02,RELIANCE.NS,Reliance Industries,India,1557.968712393485,1561.939323957406,1545.5605512562322,1553.675537109375,7749246
2024-07-03,RELIANCE.NS,Reliance Industries,India,1554.8170660210362,1563.4283787351976,1531.440162014497,1541.019287109375,9049620
2024-07-04,RELIANCE.NS,Reliance Industries,India,1545.5606622734106,1555.983518377374,1539.4062623766438,1542.6075439453125,6837176
2024-07-05,RELIANCE.NS,Reliance Industries,India,1542.4088769403465,1586.755694667964,1536.6267221432645,1576.9532470703125,12269710
2024-07-08,RELIANCE.NS,Reliance Industries,India,1577.325467706802,1596.9800437158895,1570.8980643748457,1589.1380615234375,9500806
2024-07-09,RELIANCE.NS,Reliance Industries,India,1585.8623208770043,1588.7410386525216,1568.887979750272,1578.5911865234375,6960002
2024-07-10,RELIANCE.NS,Reliance Industries,India,1583.2814308954767,1585.7630632323035,1551.6654591589945,1572.5855712890625,7134578
2024-07-11,RELIANCE.NS,Reliance Industries,India,1575.8365135146928,1592.4634499565013,1558.9614138424095,1569.036865234375,11940946
