Date,Ticker,Company,Market,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_20,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI,MACD,MACD_Signal,MACD_Hist,52W_High,52W_Low,52W_Pct
2024-05-09,AAPL,Apple,US,180.91352883975787,182.99459544718977,180.4675903156434,182.9054107666016,48983000,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,
2024-05-10,AAPL,Apple,US,183.4809650708303,183.66950932429603,180.7322345449188,181.64517211914065,50759500,-0.689011135416373,-0.689011135416373,,,,,,,,,,,-0.10053185791713304,-0.02010637158342661,-0.08042548633370643,,,
2024-05-13,AAPL,Apple,US,184.01682262141372,185.6640864017181,183.2031085341488,184.85037231445312,72044800,1.7645391605619842,1.0633701538405704,,,,,,,,,,,0.07753501380142325,-0.0005780945064566383,0.07811310830787989,,,
2024-05-14,AAPL,Apple,US,186.0708886857381,186.8548340557412,184.86025075717885,185.9915008544922,52393600,0.6173255296980651,1.6872601389734898,,,,,,,,,,,0.30719270265754517,0.06097606492634373,0.24621663773120145,,,
2024-05-15,AAPL,Apple,US,186.46785537715888,189.1868170758504,185.93199122253947,188.2639617919922,70400000,1.2218090219497935,2.9296842575250226,,,,,,,,,,,0.6649021040102525,0.18176127274312548,0.48314083126712704,,,
2024-05-16,AAPL,Apple,US,189.0082265089993,189.6333963773736,188.20444533062343,188.383056640625,52845200,0.06325950410221992,2.9947970653603218,,,,,,,,,,,0.9470819693027579,0.334825412055052,0.6122565572477059,,,
2024-05-17,AAPL,Apple,US,188.05555831413108,189.34558420614056,187.7280891548122,188.4127960205078,41282900,0.01578665322303774,3.0110564968107933,,,,,,,,,,,1.1597424756131716,0.49980882476667593,0.6599336508464957,,,
2024-05-20,AAPL,Apple,US,187.8769693298537,190.44708847543168,187.5594179346384,189.57383728027344,44361300,0.6162220848520583,3.6458333767835693,,,,,,,,,,,1.4057590699332252,0.6809988737999859,0.7247601961332393,,,
2024-05-21,AAPL,Apple,US,189.6234548753388,191.2508679069906,189.45476137627725,190.8737945556641,42309400,0.6857260970398293,4.356559904742596,,,,,,,,,,,1.686187363007889,0.8820365716415666,0.8041507913663224,,,
2024-05-22,AAPL,Apple,US,190.79440205142183,191.3401840301744,188.8097513226368,189.43490600585935,34648500,-0.7538429008310699,3.569875386349164,,,,,,,,,,,1.7718971970505777,1.0600086967233688,0.7118885003272089,,,
2024-05-23,AAPL,Apple,US,189.51429520164533,189.5341459487459,185.19768892080705,185.44577026367188,51005900,-2.1058081777516113,1.3888924807762715,,,,,,,,,,,1.5006345611311644,1.1481338696049281,0.3525006915262363,,,
2024-05-24,AAPL,Apple,US,187.37087155015985,189.11735863774425,186.59684388111853,188.5219573974609,36327000,1.658806846559635,3.0707383708983738,,,,,,,,,,,1.5163994517970423,1.221786986043351,0.29461246575369127,,,
2024-05-28,AAPL,Apple,US,190.0402451982288,191.518815598676,187.6487523245995,188.53192138671875,52280100,0.005285320285963735,3.0761859895424015,,,,,,,,,,,1.5122648045752385,1.2798825497497286,0.2323822548255099,,,
2024-05-29,AAPL,Apple,US,188.15480064928903,190.7745388343773,188.05556206266323,188.8295745849609,53068000,0.15787946998726543,3.2389221256657663,,,,,,,,,,,1.5155360363316106,1.3270132470661051,0.18852278926550547,,,
2024-05-30,AAPL,Apple,US,189.29598343446253,190.70508365256933,189.16699143181853,189.8219146728516,49889100,0.5255215397650614,3.7814648988574007,,,,,,,,,,67.04157530806268,1.5799889339060087,1.377608384434086,0.20238054947192263,,,
2024-05-31,AAPL,Apple,US,189.9707854632458,191.09211806054816,188.4525287449312,190.77456665039065,75158300,0.5018661723968476,4.30230896440269,,,,,,,,,,72.84011037086007,1.6884756759813513,1.4397818427435392,0.24869383323781213,,,
2024-06-03,AAPL,Apple,US,191.4195610224673,193.49353258818425,191.04248767189637,192.5408935546875,50080500,0.9258712706362804,5.2680140777144,,,,,,,,,,70.73300160925662,1.8951340938932901,1.5308522929734893,0.3642818009198008,,,
2024-06-04,AAPL,Apple,US,193.14619663099631,193.82098571162211,191.54855228534225,192.85842895507807,47471400,0.1649184204603138,5.441620423781313,,,,,,,,,,69.37295360368063,2.060779449338156,1.6368377242464227,0.42394172509173345,,,
2024-06-05,AAPL,Apple,US,193.90036613096368,195.38885414673365,193.3744349100596,194.36676025390625,54156800,0.7820924949977215,6.2662714237196715,,,,,,,,,,67.99296392436662,2.2873966325779804,1.7669495059127343,0.5204471266652462,,,
